empathy,distress,emotion
6.3329999999999975,6.0,sadness
6.5,5.75,neutral
5.6670000000000025,1.0,neutral
4.0,4.625,sadness
6.0,1.0,joy
3.333,3.5,anger
6.0,1.5,fear
3.833,1.0,surprise
2.333,1.0,joy
3.5,1.0,sadness
2.333,1.0,surprise
2.333,1.0,disgust
7.0,1.75,sadness
4.0,4.0,neutral
4.0,6.25,sadness
5.0,7.0,sadness
5.0,7.0,sadness
4.167,4.0,neutral
3.5,3.5,sadness
4.167,4.125,neutral
3.667,2.875,neutral
3.333,3.5,neutral
7.0,1.875,sadness
7.0,1.0,sadness
7.0,1.5,neutral
7.0,1.0,neutral
7.0,1.125,joy
6.3329999999999975,3.25,sadness
3.5,3.375,neutral
1.0,1.625,surprise
1.167,1.25,anger
6.3329999999999975,3.5,surprise
3.333,4.625,neutral
2.833,5.125,surprise
3.0,6.0,disgust
4.5,2.0,neutral
2.0,3.0,anger
6.0,5.0,fear
5.332999999999998,5.5,sadness
7.0,1.375,anger
4.333,2.5,neutral
4.5,6.0,fear
1.6669999999999998,1.0,neutral
4.5,3.25,fear
2.167,1.125,sadness
3.0,1.5,anger
3.0,5.5,surprise
3.5,4.375,fear
4.167,4.375,surprise
4.667,4.625,neutral
4.5,4.125,anger
4.667,4.375,fear
1.5,2.125,neutral
1.8330000000000002,2.625,neutral
1.5,4.125,surprise
1.0,3.5,neutral
3.5,3.5,fear
5.8329999999999975,3.625,sadness
1.8330000000000002,4.5,anger
3.0,4.0,sadness
4.167,5.25,sadness
3.167,2.125,anger
2.167,5.125,fear
2.667,5.5,sadness
1.3330000000000002,1.25,sadness
1.167,2.0,surprise
4.667,5.25,disgust
5.5,1.25,disgust
2.833,1.25,sadness
1.0,2.0,neutral
1.0,1.375,anger
1.0,2.0,neutral
4.0,4.75,neutral
4.833,4.625,neutral
4.0,4.875,neutral
5.0,3.625,sadness
4.667,4.25,neutral
4.333,4.125,neutral
3.667,3.875,neutral
3.833,3.625,disgust
4.167,4.125,neutral
3.5,3.25,neutral
2.333,1.875,anger
1.3330000000000002,1.0,fear
4.0,2.375,anger
1.0,2.125,anger
2.0,1.125,sadness
2.0,5.5,sadness
1.0,4.0,fear
1.0,2.5,anger
2.333,3.75,sadness
6.3329999999999975,1.875,sadness
5.332999999999998,2.375,sadness
4.833,3.875,fear
4.833,3.25,sadness
1.167,5.125,disgust
4.0,2.5,sadness
3.333,5.5,sadness
3.167,5.625,anger
3.333,2.125,surprise
3.5,5.875,disgust
2.0,2.25,surprise
5.5,1.875,disgust
4.167,5.5,sadness
5.5,2.125,joy
4.833,4.25,anger
1.8330000000000002,5.5,anger
5.6670000000000025,4.0,anger
5.8329999999999975,5.875,sadness
5.8329999999999975,5.625,sadness
6.5,5.625,sadness
5.332999999999998,6.0,surprise
4.0,3.75,sadness
3.5,3.75,sadness
2.167,1.75,sadness
4.0,4.0,sadness
4.5,4.25,sadness
5.0,5.875,sadness
1.167,6.375,surprise
1.0,6.0,disgust
4.333,4.875,neutral
1.0,3.5,anger
6.0,6.0,neutral
6.0,6.0,disgust
6.0,6.0,anger
6.0,6.0,sadness
6.0,6.0,anger
1.0,1.0,anger
1.0,1.0,anger
2.5,1.0,sadness
3.0,6.875,anger
3.667,1.0,sadness
5.0,4.875,neutral
3.667,3.875,anger
4.167,2.875,anger
3.333,5.625,sadness
3.667,3.875,neutral
7.0,1.0,sadness
7.0,1.0,anger
7.0,1.0,sadness
7.0,1.0,surprise
7.0,1.0,sadness
1.6669999999999998,5.625,anger
3.167,4.875,surprise
4.833,5.875,sadness
3.833,5.875,disgust
4.167,5.0,fear
4.833,5.5,sadness
4.667,6.375,anger
1.6669999999999998,3.375,fear
1.8330000000000002,2.25,surprise
3.167,2.125,joy
2.333,3.0,sadness
3.833,1.875,sadness
3.833,4.25,neutral
2.0,4.25,sadness
4.833,3.125,sadness
4.167,6.125,neutral
4.5,6.875,sadness
1.0,1.0,anger
4.0,5.0,neutral
1.0,1.0,sadness
5.0,5.5,neutral
5.6670000000000025,5.625,neutral
5.167000000000002,5.25,fear
5.5,5.125,neutral
5.167000000000002,5.375,neutral
5.0,1.0,joy
4.833,1.0,joy
4.5,1.0,joy
4.333,1.0,joy
4.667,2.0,neutral
3.667,2.75,sadness
5.332999999999998,3.875,sadness
5.5,3.875,sadness
5.332999999999998,5.75,sadness
4.167,5.25,disgust
4.333,2.25,joy
4.833,3.125,sadness
2.167,2.0,neutral
4.833,3.375,neutral
2.5,3.0,anger
1.0,2.625,anger
1.0,1.5,anger
1.167,1.125,sadness
2.167,2.75,sadness
1.3330000000000002,1.0,surprise
3.333,1.875,neutral
2.5,1.875,neutral
2.667,2.75,neutral
3.333,2.875,sadness
1.5,3.0,surprise
5.0,1.0,surprise
6.3329999999999975,4.25,surprise
6.1670000000000025,6.125,disgust
7.0,7.0,fear
7.0,7.0,anger
7.0,7.0,anger
7.0,6.75,sadness
7.0,6.625,disgust
6.8329999999999975,6.375,disgust
4.167,3.75,neutral
5.332999999999998,3.5,sadness
5.332999999999998,2.75,sadness
3.0,5.75,anger
1.0,1.0,neutral
2.0,4.125,anger
4.833,2.75,sadness
2.833,2.0,anger
2.167,1.625,anger
2.333,1.875,neutral
1.0,1.0,neutral
3.5,4.25,sadness
1.0,2.875,anger
5.5,3.375,sadness
5.332999999999998,2.25,sadness
5.8329999999999975,4.625,sadness
4.0,4.25,surprise
4.0,4.625,fear
6.0,5.375,fear
4.0,4.0,neutral
3.0,3.0,neutral
4.0,3.625,surprise
2.667,5.125,neutral
2.333,2.5,neutral
3.0,3.375,sadness
3.333,3.75,surprise
5.6670000000000025,2.25,surprise
3.5,1.875,surprise
3.5,1.25,surprise
6.0,1.875,anger
5.8329999999999975,1.875,disgust
1.5,1.125,sadness
5.0,2.25,anger
1.0,2.875,sadness
2.333,2.25,fear
3.667,1.0,anger
2.5,3.625,neutral
1.5,1.0,sadness
1.5,1.375,neutral
3.5,3.875,neutral
1.3330000000000002,1.5,anger
4.333,4.5,surprise
4.5,4.25,anger
3.0,4.625,sadness
2.333,2.875,anger
3.333,4.375,sadness
5.5,3.875,sadness
4.833,3.875,joy
5.8329999999999975,4.625,sadness
2.833,2.625,sadness
1.6669999999999998,2.125,anger
6.3329999999999975,4.25,anger
5.8329999999999975,5.625,neutral
4.0,4.875,sadness
3.5,5.0,surprise
4.833,5.375,surprise
3.167,3.625,disgust
4.0,3.5,surprise
3.667,3.625,sadness
2.0,4.375,anger
3.167,3.5,anger
4.5,1.875,anger
1.5,1.25,anger
3.0,1.0,anger
6.3329999999999975,5.625,anger
4.5,3.375,anger
3.167,4.75,sadness
4.5,4.75,disgust
3.167,4.375,disgust
3.167,3.75,anger
3.167,3.75,joy
4.167,7.0,sadness
1.0,6.25,anger
3.167,4.125,sadness
3.333,4.75,disgust
4.167,4.25,sadness
3.833,6.625,neutral
4.0,4.0,neutral
5.332999999999998,4.625,neutral
4.5,4.0,sadness
4.333,4.375,fear
5.8329999999999975,5.625,sadness
5.167000000000002,4.125,sadness
6.1670000000000025,4.75,sadness
7.0,6.5,sadness
5.8329999999999975,5.125,anger
2.167,1.875,anger
3.167,3.25,anger
4.167,5.25,neutral
3.333,3.25,neutral
4.833,5.0,sadness
1.3330000000000002,2.625,sadness
1.0,2.625,neutral
1.167,2.75,anger
2.667,3.75,fear
1.0,3.375,neutral
5.167000000000002,3.75,sadness
5.332999999999998,2.375,sadness
4.5,4.25,sadness
4.5,4.0,neutral
2.833,2.75,joy
6.0,5.375,sadness
5.5,6.5,neutral
3.5,4.75,neutral
4.833,4.375,sadness
5.5,5.625,anger
5.5,6.25,sadness
4.167,2.5,fear
2.333,4.0,disgust
3.167,3.125,neutral
5.332999999999998,5.75,anger
7.0,3.75,neutral
7.0,3.5,sadness
7.0,1.75,disgust
5.0,1.0,neutral
5.0,1.0,anger
2.333,4.125,sadness
3.167,3.875,fear
1.5,4.875,disgust
1.167,1.75,sadness
1.0,1.5,anger
5.6670000000000025,1.875,joy
1.0,3.5,fear
1.0,4.5,sadness
5.6670000000000025,1.5,joy
1.0,6.125,sadness
1.0,4.75,sadness
1.0,1.875,sadness
2.0,7.0,sadness
2.833,3.25,sadness
1.167,1.125,surprise
4.667,4.125,surprise
5.6670000000000025,3.625,fear
3.167,2.75,neutral
5.332999999999998,4.625,neutral
2.167,2.875,neutral
1.0,1.375,fear
1.0,1.0,neutral
1.0,1.5,anger
1.0,1.0,anger
1.0,1.25,disgust
1.3330000000000002,3.0,anger
2.5,1.625,anger
2.167,1.0,surprise
2.167,3.375,anger
3.0,3.75,anger
4.667,4.125,sadness
2.333,1.25,fear
2.167,1.25,fear
4.167,4.0,fear
2.0,1.0,neutral
6.3329999999999975,5.0,sadness
4.167,4.5,sadness
6.6670000000000025,5.125,sadness
5.5,5.625,disgust
4.833,4.75,joy
7.0,7.0,disgust
6.0,4.875,surprise
7.0,7.0,anger
7.0,7.0,neutral
7.0,7.0,anger
5.6670000000000025,6.75,sadness
5.6670000000000025,4.25,sadness
3.333,3.375,neutral
6.5,6.5,sadness
4.167,4.875,neutral
6.0,6.125,anger
4.667,1.125,surprise
3.667,5.0,sadness
1.0,6.0,disgust
1.0,6.0,anger
4.833,2.0,fear
4.0,2.0,anger
4.0,3.25,sadness
4.0,3.0,surprise
4.0,3.0,sadness
3.5,4.875,neutral
4.667,5.0,sadness
3.833,3.875,neutral
2.833,2.75,sadness
4.333,2.875,sadness
5.332999999999998,3.0,joy
5.0,6.0,anger
3.0,1.5,surprise
4.333,4.625,anger
6.1670000000000025,6.125,disgust
4.0,6.25,sadness
1.0,6.125,disgust
4.0,6.25,disgust
6.6670000000000025,2.5,sadness
3.0,5.625,sadness
7.0,7.0,sadness
1.0,7.0,disgust
1.0,7.0,anger
6.0,7.0,fear
1.0,7.0,sadness
1.8330000000000002,3.25,joy
2.833,4.5,sadness
3.667,3.25,neutral
5.0,4.5,sadness
3.667,5.375,sadness
1.0,2.375,anger
3.667,2.75,sadness
6.5,1.25,surprise
1.0,1.75,neutral
2.833,1.0,fear
5.167000000000002,3.75,fear
5.332999999999998,5.25,sadness
5.6670000000000025,4.625,sadness
3.0,1.625,fear
3.667,2.25,sadness
4.667,5.375,anger
4.167,5.875,fear
4.833,6.25,neutral
4.833,5.875,neutral
4.333,4.125,anger
6.0,6.0,sadness
6.0,6.0,sadness
6.0,6.0,sadness
5.0,5.125,sadness
5.0,5.125,fear
4.333,1.0,sadness
1.0,1.0,anger
1.5,1.0,sadness
3.0,1.625,sadness
1.0,1.0,neutral
5.167000000000002,4.5,anger
5.0,4.5,surprise
3.667,3.75,sadness
4.167,2.25,sadness
3.167,1.5,sadness
3.167,5.125,fear
3.333,6.0,fear
3.0,6.5,sadness
3.5,4.25,neutral
2.667,6.25,neutral
4.167,3.875,neutral
3.667,3.875,sadness
3.833,4.0,joy
4.167,4.25,joy
3.667,4.125,neutral
5.167000000000002,2.625,sadness
5.6670000000000025,6.125,fear
1.0,1.0,neutral
7.0,7.0,anger
7.0,6.125,anger
5.332999999999998,3.0,fear
4.0,3.75,sadness
3.5,1.625,surprise
2.0,1.0,neutral
2.0,3.875,fear
7.0,6.875,sadness
5.332999999999998,6.25,sadness
3.167,1.875,sadness
5.5,6.0,sadness
4.833,7.0,neutral
5.5,4.75,disgust
5.8329999999999975,3.75,anger
7.0,5.875,sadness
5.5,4.75,sadness
7.0,7.0,disgust
3.0,1.375,sadness
4.0,3.75,neutral
1.6669999999999998,1.0,surprise
6.0,2.25,sadness
1.0,1.875,anger
2.0,1.5,sadness
1.6669999999999998,1.375,sadness
2.5,1.0,joy
4.0,1.5,sadness
4.0,1.5,neutral
5.167000000000002,6.625,anger
1.3330000000000002,1.0,joy
1.5,1.75,neutral
2.833,2.625,fear
1.0,3.0,anger
4.333,4.375,fear
4.167,3.875,neutral
4.833,3.25,sadness
3.667,2.875,neutral
3.333,3.875,sadness
3.333,5.375,anger
3.0,5.75,neutral
2.167,4.125,fear
1.0,7.0,fear
2.167,6.625,anger
6.0,6.0,sadness
4.333,4.625,anger
5.8329999999999975,6.25,sadness
5.332999999999998,5.0,sadness
7.0,3.5,sadness
2.0,2.0,surprise
1.0,3.625,anger
1.0,1.0,anger
1.0,1.5,anger
1.0,2.875,anger
5.0,5.25,fear
4.833,4.125,sadness
3.5,4.875,anger
5.332999999999998,5.5,sadness
4.333,5.125,anger
1.0,6.25,fear
1.0,5.5,fear
1.0,6.25,anger
1.0,4.75,anger
7.0,2.5,anger
4.5,5.0,sadness
3.833,5.0,sadness
1.5,1.0,anger
1.0,2.25,surprise
6.0,4.375,anger
1.5,1.5,surprise
1.0,1.0,neutral
1.5,2.0,sadness
1.0,1.0,sadness
1.0,1.0,surprise
3.667,1.5,surprise
3.0,4.125,neutral
1.0,1.0,neutral
1.0,2.0,sadness
2.667,2.375,sadness
1.6669999999999998,2.875,anger
3.667,3.75,sadness
4.667,2.75,sadness
2.167,3.125,surprise
1.0,1.875,sadness
4.333,5.0,sadness
4.333,4.875,fear
4.667,4.625,anger
5.167000000000002,4.25,surprise
4.833,4.875,anger
4.167,5.625,sadness
5.0,5.5,sadness
4.667,5.75,sadness
5.167000000000002,6.875,sadness
4.333,6.0,anger
5.0,4.75,sadness
5.0,4.0,sadness
5.0,4.125,sadness
4.667,4.75,fear
5.0,4.0,joy
3.333,5.5,anger
3.167,5.375,anger
5.0,6.0,neutral
6.0,6.0,sadness
6.0,6.0,sadness
6.1670000000000025,6.5,sadness
2.5,4.625,joy
4.0,6.375,anger
1.8330000000000002,5.75,fear
4.167,6.5,sadness
6.0,6.5,sadness
5.0,4.5,sadness
2.167,3.875,anger
4.667,4.875,sadness
4.833,5.625,fear
6.1670000000000025,6.75,sadness
5.6670000000000025,7.0,sadness
4.333,3.75,sadness
5.332999999999998,6.625,sadness
6.0,7.0,sadness
6.0,6.0,sadness
4.0,4.0,anger
4.0,4.0,disgust
3.0,3.0,neutral
4.0,4.0,neutral
5.6670000000000025,1.0,anger
4.667,4.875,sadness
3.5,2.0,fear
4.5,1.0,fear
4.167,1.75,sadness
7.0,7.0,sadness
7.0,7.0,sadness
4.333,5.0,neutral
7.0,7.0,sadness
2.833,1.0,sadness
6.3329999999999975,4.75,sadness
5.0,5.625,anger
6.8329999999999975,3.5,sadness
4.167,3.375,fear
1.0,3.375,anger
3.167,4.25,sadness
2.0,2.0,sadness
5.332999999999998,5.25,sadness
4.0,4.625,anger
1.6669999999999998,1.0,neutral
1.0,1.0,neutral
1.0,1.0,anger
1.0,1.0,anger
1.0,1.0,anger
1.0,1.0,fear
3.5,3.75,fear
4.333,3.625,neutral
3.5,4.125,neutral
3.333,4.375,neutral
4.167,3.75,neutral
5.5,1.0,sadness
4.0,1.0,anger
3.5,1.0,fear
1.0,3.625,anger
4.0,1.0,sadness
6.8329999999999975,5.75,anger
4.0,3.5,sadness
6.8329999999999975,6.75,sadness
5.332999999999998,4.0,sadness
2.833,4.625,surprise
3.667,5.75,neutral
3.833,4.875,sadness
1.6669999999999998,1.0,neutral
1.0,1.0,disgust
4.167,3.25,sadness
2.167,7.0,anger
1.0,7.0,sadness
1.0,7.0,anger
1.167,6.25,sadness
1.0,7.0,anger
3.333,4.0,sadness
3.5,3.0,fear
4.833,5.125,neutral
6.0,6.0,sadness
7.0,7.0,surprise
5.5,5.75,fear
4.333,5.25,joy
6.5,4.125,fear
6.0,3.125,joy
5.5,4.25,neutral
2.5,1.375,fear
1.6669999999999998,1.25,neutral
1.8330000000000002,1.375,neutral
1.8330000000000002,1.0,sadness
2.0,2.0,sadness
2.833,6.125,fear
4.0,2.75,anger
3.333,3.75,neutral
1.0,7.0,sadness
3.167,5.875,fear
3.5,1.5,sadness
3.5,4.0,fear
4.0,4.375,neutral
4.167,4.5,neutral
4.833,3.5,neutral
1.5,4.75,sadness
6.0,2.0,sadness
2.833,1.0,neutral
4.667,2.0,fear
1.6669999999999998,5.125,anger
1.0,1.0,fear
1.0,1.5,fear
1.167,1.375,fear
1.0,2.75,fear
1.0,1.0,anger
4.667,3.625,sadness
3.5,1.0,anger
4.333,5.125,neutral
2.833,1.75,neutral
4.667,2.875,anger
4.333,3.125,sadness
3.0,2.875,neutral
2.0,2.0,anger
2.0,2.0,anger
4.333,3.5,sadness
4.667,4.25,sadness
5.332999999999998,5.0,sadness
6.1670000000000025,3.0,anger
4.667,5.125,sadness
2.5,4.75,disgust
4.333,3.25,neutral
3.167,4.125,fear
5.0,3.25,fear
4.667,5.125,fear
5.167000000000002,4.75,disgust
3.5,3.25,sadness
3.333,2.75,anger
4.167,4.5,sadness
1.8330000000000002,2.375,fear
2.5,3.0,fear
5.0,2.625,sadness
3.833,3.625,anger
1.167,4.0,surprise
3.333,4.75,surprise
5.8329999999999975,4.5,sadness
2.5,1.375,anger
1.6669999999999998,1.0,anger
1.3330000000000002,1.0,joy
2.333,1.375,anger
1.8330000000000002,1.0,surprise
7.0,5.5,sadness
7.0,7.0,sadness
7.0,1.75,sadness
7.0,5.125,surprise
7.0,7.0,neutral
2.833,2.625,anger
2.0,1.625,anger
2.0,2.0,fear
4.333,2.125,sadness
1.167,1.375,joy
2.0,2.125,neutral
1.0,1.5,sadness
1.0,1.0,neutral
1.5,1.375,disgust
1.0,1.0,neutral
3.667,1.5,sadness
1.8330000000000002,1.375,anger
2.167,1.5,sadness
1.0,1.0,joy
1.0,1.625,anger
1.0,5.75,sadness
1.0,7.0,fear
1.0,4.875,neutral
1.8330000000000002,5.625,anger
3.333,4.125,neutral
3.667,5.625,neutral
2.0,2.0,neutral
5.0,5.5,fear
4.167,5.0,anger
1.0,1.0,neutral
4.833,5.625,surprise
1.5,6.0,anger
5.0,5.25,sadness
3.0,5.0,joy
4.5,5.5,sadness
2.833,2.875,sadness
3.167,3.375,sadness
2.0,2.25,anger
5.5,6.625,sadness
6.6670000000000025,6.875,sadness
3.0,4.5,fear
3.5,4.625,neutral
3.167,4.25,fear
3.333,5.25,neutral
3.833,4.875,anger
1.0,1.0,sadness
1.0,1.0,sadness
1.0,1.0,anger
1.0,1.0,surprise
1.0,1.0,anger
3.167,5.75,sadness
1.0,6.25,surprise
5.332999999999998,1.25,fear
3.167,5.875,disgust
5.332999999999998,3.25,sadness
1.0,1.0,joy
1.0,1.0,anger
1.0,1.0,disgust
1.0,1.0,sadness
1.0,1.0,sadness
